,,,,,Scor,,
Rk,Date,Tm,,Opp,G,S,S%
1,2023-10-11,VAN,,EDM,4,8,50
2,2023-10-14,VAN,@,EDM,0,1,0
3,2023-10-17,VAN,@,PHI,0,2,0
4,2023-10-19,VAN,@,TBL,1,4,25
5,2023-10-21,VAN,@,FLA,1,2,50
6,2023-10-24,VAN,@,NSH,0,1,0
7,2023-10-27,VAN,,STL,0,3,0
8,2023-10-28,VAN,,NYR,0,4,0
9,2023-10-31,VAN,,NSH,0,0,
10,2023-11-02,VAN,@,SJS,2,3,66.7
11,2023-11-04,VAN,,DAL,0,4,0
12,2023-11-06,VAN,,EDM,2,3,66.7
13,2023-11-09,VAN,@,OTT,1,1,100
14,2023-11-11,VAN,@,TOR,0,2,0
15,2023-11-12,VAN,@,MTL,1,5,20
16,2023-11-15,VAN,,NYI,1,3,33.3
17,2023-11-16,VAN,@,CGY,0,2,0
18,2023-11-18,VAN,,SEA,0,1,0
19,2023-11-20,VAN,,SJS,0,2,0
20,2023-11-22,VAN,@,COL,0,0,
21,2023-11-24,VAN,@,SEA,0,4,0
22,2023-11-25,VAN,@,SJS,2,7,28.6
23,2023-11-28,VAN,,ANA,2,3,66.7
24,2023-11-30,VAN,,VEG,0,1,0
25,2023-12-02,VAN,@,CGY,0,1,0
26,2023-12-05,VAN,,NJD,1,3,33.3
27,2023-12-07,VAN,,MIN,0,1,0
28,2023-12-09,VAN,,CAR,0,2,0
29,2023-12-12,VAN,,TBL,3,4,75
30,2023-12-14,VAN,,FLA,1,3,33.3
31,2023-12-16,VAN,@,MIN,0,5,0
32,2023-12-17,VAN,@,CHI,1,4,25
33,2023-12-19,VAN,@,NSH,0,4,0
34,2023-12-21,VAN,@,DAL,1,4,25
35,2023-12-23,VAN,,SJS,0,2,0
36,2023-12-28,VAN,,PHI,0,1,0
37,2024-01-02,VAN,,OTT,0,1,0
38,2024-01-04,VAN,@,STL,0,2,0
39,2024-01-06,VAN,@,NJD,0,3,0
40,2024-01-08,VAN,@,NYR,1,5,20
41,2024-01-09,VAN,@,NYI,0,2,0
42,2024-01-11,VAN,@,PIT,2,3,66.7
43,2024-01-13,VAN,@,BUF,0,0,
44,2024-01-15,VAN,@,CBJ,0,6,0
45,2024-01-18,VAN,,ARI,0,2,0
46,2024-01-20,VAN,,TOR,0,1,0
47,2024-01-22,VAN,,CHI,0,0,
48,2024-01-24,VAN,,STL,0,4,0
49,2024-01-27,VAN,,CBJ,3,5,60
50,2024-02-06,VAN,@,CAR,0,0,
51,2024-02-08,VAN,@,BOS,0,0,
52,2024-02-10,VAN,@,DET,0,3,0
53,2024-02-11,VAN,@,WSH,0,2,0
54,2024-02-13,VAN,@,CHI,0,2,0
55,2024-02-15,VAN,,DET,0,1,0
56,2024-02-17,VAN,,WPG,0,5,0
57,2024-02-19,VAN,@,MIN,1,2,50
58,2024-02-20,VAN,@,COL,0,1,0
59,2024-02-22,VAN,@,SEA,0,1,0
60,2024-02-24,VAN,,BOS,2,4,50
61,2024-02-27,VAN,,PIT,1,6,16.7
62,2024-02-29,VAN,,LAK,1,3,33.3
63,2024-03-03,VAN,@,ANA,0,1,0
64,2024-03-05,VAN,@,LAK,0,4,0
65,2024-03-07,VAN,@,VEG,0,5,0
66,2024-03-09,VAN,,WPG,0,4,0
67,2024-03-13,VAN,,COL,0,2,0
68,2024-03-16,VAN,,WSH,1,1,100
69,2024-03-19,VAN,,BUF,0,2,0
70,2024-03-21,VAN,,MTL,0,2,0
71,2024-03-23,VAN,,CGY,0,0,
72,2024-03-25,VAN,,LAK,1,1,100
73,2024-03-28,VAN,,DAL,0,2,0
74,2024-03-31,VAN,,ANA,1,2,50
75,2024-04-02,VAN,@,VEG,0,1,0
76,2024-04-03,VAN,@,ARI,0,4,0
77,2024-04-06,VAN,@,LAK,1,5,20
78,2024-04-08,VAN,,VEG,1,1,100
79,2024-04-10,VAN,,ARI,0,3,0
80,2024-04-13,VAN,@,EDM,0,0,
81,2024-04-16,VAN,,CGY,0,0,
