,game,G,S,S%,rolling-avg
1,2023-10-11 (VAN vs EDM),4,8,50.0,
2,2023-10-14 (VAN @ EDM),0,1,0.0,
3,2023-10-17 (VAN @ PHI),0,2,0.0,
4,2023-10-19 (VAN @ TBL),1,4,25.0,
5,2023-10-21 (VAN @ FLA),1,2,50.0,25.0
6,2023-10-24 (VAN @ NSH),0,1,0.0,15.0
7,2023-10-27 (VAN vs STL),0,3,0.0,15.0
8,2023-10-28 (VAN vs NYR),0,4,0.0,15.0
9,2023-10-31 (VAN vs NSH),0,0,,
10,2023-11-02 (VAN @ SJS),2,3,66.7,
11,2023-11-04 (VAN vs DAL),0,4,0.0,
12,2023-11-06 (VAN vs EDM),2,3,66.7,
13,2023-11-09 (VAN @ OTT),1,1,100.0,
14,2023-11-11 (VAN @ TOR),0,2,0.0,46.7
15,2023-11-12 (VAN @ MTL),1,5,20.0,37.3
16,2023-11-15 (VAN vs NYI),1,3,33.3,44.0
17,2023-11-16 (VAN @ CGY),0,2,0.0,30.7
18,2023-11-18 (VAN vs SEA),0,1,0.0,10.7
19,2023-11-20 (VAN vs SJS),0,2,0.0,10.7
20,2023-11-22 (VAN @ COL),0,0,,
21,2023-11-24 (VAN @ SEA),0,4,0.0,
22,2023-11-25 (VAN @ SJS),2,7,28.6,
23,2023-11-28 (VAN vs ANA),2,3,66.7,
24,2023-11-30 (VAN vs VEG),0,1,0.0,
25,2023-12-02 (VAN @ CGY),0,1,0.0,19.1
26,2023-12-05 (VAN vs NJD),1,3,33.3,25.7
27,2023-12-07 (VAN vs MIN),0,1,0.0,20.0
28,2023-12-09 (VAN vs CAR),0,2,0.0,6.7
29,2023-12-12 (VAN vs TBL),3,4,75.0,21.7
30,2023-12-14 (VAN vs FLA),1,3,33.3,28.3
31,2023-12-16 (VAN @ MIN),0,5,0.0,21.7
32,2023-12-17 (VAN @ CHI),1,4,25.0,26.7
33,2023-12-19 (VAN @ NSH),0,4,0.0,26.7
34,2023-12-21 (VAN @ DAL),1,4,25.0,16.7
35,2023-12-23 (VAN vs SJS),0,2,0.0,10.0
36,2023-12-28 (VAN vs PHI),0,1,0.0,10.0
37,2024-01-02 (VAN vs OTT),0,1,0.0,5.0
38,2024-01-04 (VAN @ STL),0,2,0.0,5.0
39,2024-01-06 (VAN @ NJD),0,3,0.0,0.0
40,2024-01-08 (VAN @ NYR),1,5,20.0,4.0
41,2024-01-09 (VAN @ NYI),0,2,0.0,4.0
42,2024-01-11 (VAN @ PIT),2,3,66.7,17.3
43,2024-01-13 (VAN @ BUF),0,0,,
44,2024-01-15 (VAN @ CBJ),0,6,0.0,
45,2024-01-18 (VAN vs ARI),0,2,0.0,
46,2024-01-20 (VAN vs TOR),0,1,0.0,
47,2024-01-22 (VAN vs CHI),0,0,,
48,2024-01-24 (VAN vs STL),0,4,0.0,
49,2024-01-27 (VAN vs CBJ),3,5,60.0,
50,2024-02-06 (VAN @ CAR),0,0,,
51,2024-02-08 (VAN @ BOS),0,0,,
52,2024-02-10 (VAN @ DET),0,3,0.0,
53,2024-02-11 (VAN @ WSH),0,2,0.0,
54,2024-02-13 (VAN @ CHI),0,2,0.0,
55,2024-02-15 (VAN vs DET),0,1,0.0,
56,2024-02-17 (VAN vs WPG),0,5,0.0,0.0
57,2024-02-19 (VAN @ MIN),1,2,50.0,10.0
58,2024-02-20 (VAN @ COL),0,1,0.0,10.0
59,2024-02-22 (VAN @ SEA),0,1,0.0,10.0
60,2024-02-24 (VAN vs BOS),2,4,50.0,20.0
61,2024-02-27 (VAN vs PIT),1,6,16.7,23.3
62,2024-02-29 (VAN vs LAK),1,3,33.3,20.0
63,2024-03-03 (VAN @ ANA),0,1,0.0,20.0
64,2024-03-05 (VAN @ LAK),0,4,0.0,20.0
65,2024-03-07 (VAN @ VEG),0,5,0.0,10.0
66,2024-03-09 (VAN vs WPG),0,4,0.0,6.7
67,2024-03-13 (VAN vs COL),0,2,0.0,0.0
68,2024-03-16 (VAN vs WSH),1,1,100.0,20.0
69,2024-03-19 (VAN vs BUF),0,2,0.0,20.0
70,2024-03-21 (VAN vs MTL),0,2,0.0,20.0
71,2024-03-23 (VAN vs CGY),0,0,,
72,2024-03-25 (VAN vs LAK),1,1,100.0,
73,2024-03-28 (VAN vs DAL),0,2,0.0,
74,2024-03-31 (VAN vs ANA),1,2,50.0,
75,2024-04-02 (VAN @ VEG),0,1,0.0,
76,2024-04-03 (VAN @ ARI),0,4,0.0,30.0
77,2024-04-06 (VAN @ LAK),1,5,20.0,14.0
78,2024-04-08 (VAN vs VEG),1,1,100.0,34.0
79,2024-04-10 (VAN vs ARI),0,3,0.0,24.0
80,2024-04-13 (VAN @ EDM),0,0,,
81,2024-04-16 (VAN vs CGY),0,0,,
