Date,Tm,location,Opp,DEC,GA,SA,SV,SV%,Uniform
2023-10-11,VAN,vs,EDM,W,1,22,21,0.955,Home
2023-10-17,VAN,@,PHI,L,2,42,40,0.952,Road
2023-10-19,VAN,@,TBL,L,4,36,32,0.889,Road
2023-10-24,VAN,@,NSH,W,2,18,16,0.889,Road
2023-10-27,VAN,vs,STL,W,0,22,22,1,Home
2023-10-31,VAN,vs,NSH,W,2,29,27,0.931,Skate
2023-11-02,VAN,@,SJS,W,1,31,30,0.968,Road
2023-11-04,VAN,vs,DAL,W,0,27,27,1,Home
2023-11-06,VAN,vs,EDM,W,2,43,41,0.953,Skate
2023-11-11,VAN,@,TOR,L,5,22,17,0.773,Road
2023-11-15,VAN,vs,NYI,W,3,33,30,0.909,Home
2023-11-18,VAN,vs,SEA,L,4,26,22,0.846,Home
2023-11-20,VAN,vs,SJS,W,1,28,27,0.964,Skate
2023-11-22,VAN,@,COL,L,4,24,20,0.833,Road
2023-11-24,VAN,@,SEA,W,1,24,23,0.958,Road
2023-11-28,VAN,vs,ANA,W,1,31,30,0.968,Skate
2023-11-30,VAN,vs,VEG,L,4,44,40,0.909,Home
2023-12-02,VAN,@,CGY,W,3,24,21,0.875,Road
2023-12-05,VAN,vs,NJD,L,6,32,26,0.813,Skate
2023-12-09,VAN,vs,CAR,W,3,24,21,0.875,Home
2023-12-12,VAN,vs,TBL,W,1,29,28,0.966,Skate
2023-12-14,VAN,vs,FLA,W,0,36,36,1,Home
2023-12-17,VAN,@,CHI,W,3,28,25,0.893,Road
2023-12-21,VAN,@,DAL,O,4,36,32,0.889,Road
2023-12-23,VAN,vs,SJS,W,4,25,21,0.84,Skate
2024-01-02,VAN,vs,OTT,W,3,38,35,0.921,Home
2024-01-04,VAN,@,STL,L,2,32,30,0.938,Road
2024-01-06,VAN,@,NJD,W,4,25,21,0.84,Road
2024-01-08,VAN,@,NYR,W,3,42,39,0.929,Road
2024-01-11,VAN,@,PIT,W,3,35,32,0.914,Road
2024-01-13,VAN,@,BUF,W,0,26,26,1,Road
2024-01-18,VAN,vs,ARI,W,1,21,20,0.952,Home
2024-01-20,VAN,vs,TOR,W,4,46,42,0.913,Skate
2024-01-22,VAN,vs,CHI,W,0,31,31,1,Skate
2024-01-27,VAN,vs,CBJ,W,4,29,25,0.862,Skate
2024-02-06,VAN,@,CAR,W,2,24,22,0.917,Road
2024-02-08,VAN,@,BOS,L,4,24,20,0.833,Road
2024-02-11,VAN,@,WSH,W,2,33,31,0.939,Road
2024-02-13,VAN,@,CHI,W,2,24,22,0.917,Road
2024-02-15,VAN,vs,DET,W,1,28,27,0.964,Skate
2024-02-17,VAN,vs,WPG,L,4,28,24,0.857,Home
2024-02-20,VAN,@,COL,L,2,26,24,0.923,Road
2024-02-22,VAN,@,SEA,L,4,30,26,0.867,Road
2024-02-24,VAN,vs,BOS,W,2,25,23,0.92,Home
2024-02-27,VAN,vs,PIT,O,4,40,36,0.9,Home
2024-02-29,VAN,vs,LAK,L,5,20,15,0.75,Skate
2024-03-05,VAN,@,LAK,W,1,24,23,0.958,Road
2024-03-07,VAN,@,VEG,W,1,28,27,0.964,Road
2024-03-09,VAN,vs,WPG,W,0,12,12,1,Home
2024-04-16,VAN,vs,CGY,W,1,40,39,0.975,Home
2024-04-18,VAN,@,WPG,L,3,25,22,0.88,Road
