Team,Attendance
Los Angeles Dodgers,47523.0
New York Yankees,40873.0
Philadelphia Phillies,40833.0
San Diego Padres,39694.0
Atlanta Braves,38166.0
St. Louis Cardinals,36290.0
Chicago Cubs,36140.0
San Francisco Giants,33890.0
Houston Astros,33719.0
Toronto Blue Jays,33554.0
Texas Rangers,32657.0
Boston Red Sox,32366.0
Los Angeles Angels,30681.0
Milwaukee Brewers,30250.0
Seattle Mariners,29778.0
Colorado Rockies,29021.0
Arizona Diamondbacks,28346.0
Baltimore Orioles,27336.0
New York Mets,26996.0
Washington Nationals,25373.0
Cincinnati Reds,25190.0
Cleveland Guardians,23727.0
Minnesota Twins,21385.0
Pittsburgh Pirates,20779.0
Detroit Tigers,19901.0
Kansas City Royals,18713.0
Chicago White Sox,16801.0
Tampa Bay Rays,16159.0
Miami Marlins,12496.0
Oakland Athletics,7279.0
