Stadium,Current,Original,Difference
Tropicana Field,25025,45369,-20344
Rogers Centre,39150,50516,-11366
Progressive Field,34830,42865,-8035
Oriole Park at Camden Yards,44970,48876,-3906
Yankee Stadium,46537,50287,-3750
Guaranteed Rate Field,40615,44321,-3706
Coors Field,46897,50200,-3303
Oakland–Alameda County Coliseum,46847,50000,-3153
Kauffman Stadium,37903,40625,-2722
Petco Park,39860,42445,-2585
Target Field,38544,39504,-960
Citizens Bank Park,42901,43500,-599
Nationals Park,41373,41888,-515
Chase Field,48330,48500,-170
Truist Park,41084,41149,-65
American Family Field,41900,41900,0
Dodger Stadium,56000,56000,0
Globe Life Field,40300,40300,0
LoanDepot Park,36742,36742,0
Citi Field,41922,41800,122
Minute Maid Park,41168,40950,218
Oracle Park,41265,40930,335
PNC Park,38747,37898,849
Comerica Park,41083,40120,963
Great American Ball Park,43500,42271,1229
T-Mobile Park,47929,46621,1308
Busch Stadium,45494,43975,1519
Angel Stadium,45517,43202,2315
Fenway Park,37755,35000,2755
Wrigley Field,41649,14000,27649
