Year,Tm,Attendance
2024,New York Mets,26996.0
2023,New York Mets,31772.0
2022,New York Mets,31663.0
2021,New York Mets,18666.0
2020,New York Mets,
2019,New York Mets,30155.0
2018,New York Mets,27469.0
2017,New York Mets,30378.0
2016,New York Mets,34440.0
2015,New York Mets,31725.0
2014,New York Mets,26528.0
2013,New York Mets,26366.0
2012,New York Mets,27689.0
2011,New York Mets,29044.0
2010,New York Mets,31602.0
2009,New York Mets,39118.0
2008,New York Mets,49902.0
2007,New York Mets,47580.0
2006,New York Mets,41723.0
2005,New York Mets,34937.0
2004,New York Mets,28629.0
2003,New York Mets,26757.0
2002,New York Mets,34628.0
2001,New York Mets,32819.0
2000,New York Mets,34821.0
1999,New York Mets,33650.0
1998,New York Mets,28246.0
1997,New York Mets,21805.0
1996,New York Mets,19609.0
1995,New York Mets,17683.0
1994,New York Mets,21726.0
1993,New York Mets,23126.0
1992,New York Mets,21970.0
1991,New York Mets,27860.0
1990,New York Mets,33738.0
1989,New York Mets,36033.0
1988,New York Mets,38193.0
1987,New York Mets,37458.0
1986,New York Mets,34168.0
1985,New York Mets,34094.0
1984,New York Mets,22749.0
1983,New York Mets,13570.0
1982,New York Mets,16334.0
1981,New York Mets,13543.0
1980,New York Mets,14537.0
1979,New York Mets,9621.0
1978,New York Mets,12592.0
1977,New York Mets,13504.0
1976,New York Mets,17912.0
1975,New York Mets,21365.0
1974,New York Mets,21262.0
1973,New York Mets,23610.0
1972,New York Mets,27361.0
1971,New York Mets,27984.0
1970,New York Mets,32896.0
1969,New York Mets,26529.0
1968,New York Mets,21728.0
1967,New York Mets,20070.0
1966,New York Mets,23860.0
1965,New York Mets,21566.0
1964,New York Mets,21129.0
1963,New York Mets,13335.0
1962,New York Mets,11532.0
