Gm#,Date,Tm,Opp,D/N,Attendance,Streak
,,,,,,
1,Friday Mar 29,NYM,MIL,D,42137,-
2,Saturday Mar 30,NYM,MIL,D,30296,--
3,Sunday Mar 31,NYM,MIL,D,22222,---
4,Monday Apr 1,NYM,DET,N,16853,----
6,Thursday Apr 4 (2),NYM,DET,D,15020,+
13,Friday Apr 12,NYM,KCR,N,18822,++
14,Saturday Apr 13,NYM,KCR,D,25387,-
15,Sunday Apr 14,NYM,KCR,D,32749,+
16,Monday Apr 15,NYM,PIT,N,18266,++
17,Tuesday Apr 16,NYM,PIT,N,18398,+++
18,Wednesday Apr 17,NYM,PIT,D,18092,++++
25,Friday Apr 26,NYM,STL,N,24159,-
26,Saturday Apr 27,NYM,STL,D,32332,--
27,Sunday Apr 28,NYM,STL,D,30980,+
28,Monday Apr 29,NYM,CHC,N,25046,-
29,Tuesday Apr 30,NYM,CHC,N,22880,+
30,Wednesday May 1,NYM,CHC,N,22485,-
31,Thursday May 2,NYM,CHC,D,22224,+
37,Friday May 10,NYM,ATL,N,23355,-
38,Saturday May 11,NYM,ATL,D,38919,--
39,Sunday May 12,NYM,ATL,N,18944,+
40,Monday May 13,NYM,PHI,N,28086,-
41,Tuesday May 14,NYM,PHI,D,30047,--
50,Friday May 24,NYM,SFG,N,26658,----
51,Saturday May 25,NYM,SFG,D,32971,-----
52,Sunday May 26,NYM,SFG,D,41016,+
54,Tuesday May 28 (2),NYM,LAD,N,36021,--
55,Wednesday May 29,NYM,LAD,D,23890,---
56,Thursday May 30,NYM,ARI,N,20926,+
57,Friday May 31,NYM,ARI,N,33884,++
58,Saturday Jun 1,NYM,ARI,D,30600,-
59,Sunday Jun 2,NYM,ARI,D,31059,--
65,Tuesday Jun 11,NYM,MIA,N,22070,-
66,Wednesday Jun 12,NYM,MIA,N,19803,+
67,Thursday Jun 13,NYM,MIA,N,22485,++
68,Friday Jun 14,NYM,SDP,N,22850,+++
69,Saturday Jun 15,NYM,SDP,D,37031,++++
70,Sunday Jun 16,NYM,SDP,D,31454,+++++
77,Tuesday Jun 25,NYM,NYY,N,42824,++
78,Wednesday Jun 26,NYM,NYY,N,43004,+++
79,Friday Jun 28,NYM,HOU,N,32465,++++
80,Saturday Jun 29,NYM,HOU,D,32348,-
81,Sunday Jun 30,NYM,HOU,D,26853,--
