Stadium,Team,Division,Current,Original,Difference
Tropicana Field,Tampa Bay Rays,AL East,25025,45369,-20344
Rogers Centre,Toronto Blue Jays,AL East,39150,50516,-11366
Progressive Field,Cleveland Guardians,AL Central,34830,42865,-8035
Oriole Park at Camden Yards,Baltimore Orioles,AL East,44970,48876,-3906
Yankee Stadium,New York Yankees,AL East,46537,50287,-3750
Guaranteed Rate Field,Chicago White Sox,AL Central,40615,44321,-3706
Coors Field,Colorado Rockies,NL West,46897,50200,-3303
Oakland–Alameda County Coliseum,Oakland Athletics,AL West,46847,50000,-3153
Kauffman Stadium,Kansas City Royals,AL Central,37903,40625,-2722
Petco Park,San Diego Padres,NL West,39860,42445,-2585
Target Field,Minnesota Twins,AL Central,38544,39504,-960
Citizens Bank Park,Philadelphia Phillies,NL East,42901,43500,-599
Nationals Park,Washington Nationals,NL East,41373,41888,-515
Chase Field,Arizona Diamondbacks,NL West,48330,48500,-170
Truist Park,Atlanta Braves,NL East,41084,41149,-65
American Family Field,Milwaukee Brewers,NL Central,41900,41900,0
Dodger Stadium,Los Angeles Dodgers,NL West,56000,56000,0
Globe Life Field,Texas Rangers,AL West,40300,40300,0
LoanDepot Park,Miami Marlins,NL East,36742,36742,0
Citi Field,New York Mets,NL East,41922,41800,122
Minute Maid Park,Houston Astros,AL West,41168,40950,218
Oracle Park,San Francisco Giants,NL West,41265,40930,335
PNC Park,Pittsburgh Pirates,NL Central,38747,37898,849
Comerica Park,Detroit Tigers,AL Central,41083,40120,963
Great American Ball Park,Cincinnati Reds,NL Central,43500,42271,1229
T-Mobile Park,Seattle Mariners,AL West,47929,46621,1308
Busch Stadium,St. Louis Cardinals,NL Central,45494,43975,1519
Angel Stadium,Los Angeles Angels,AL West,45517,43202,2315
Fenway Park,Boston Red Sox,AL East,37755,35000,2755
Wrigley Field,Chicago Cubs,NL Central,41649,14000,27649
